id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Bilgetonyukuk;Tanrıkulu;Bilgekutluk.Karabulut75@yahoo.com;repurpose withdrawal;2023-03-25T08:41:50;71697;45464
2;Alpyörük;Ozansoy;Bayra.Eliin@gmail.com;withdrawal;2023-03-25T12:38:42;75289;21024
3;Kepez;Uca;Abar.Dizdar@gmail.com;Sleek;2023-03-24T21:42:06;71090;65309
4;Bermek;Dağlaroğlu;Adk.Erbulak@hotmail.com;reinvent orchestrate;2023-03-24T17:11:43;52820;82484
5;Beğtaş;Eliçin;Ayma14@hotmail.com;mobile Granite;2023-03-25T11:49:37;13439;33970
6;Adalan;Atakol;Baabara.Polat73@gmail.com;Kamerun time-frame;2023-03-24T20:35:49;64329;13556
7;Aşanboğa;Ayverdi;Bekulu72@yahoo.com;Devolved rich;2023-03-24T23:05:57;54588;45928
8;Arademir;Özbir;Alpbams8@yahoo.com;payment Illinois;2023-03-25T13:09:21;3244;21747
9;Böge;Uca;Barman_Akolu98@hotmail.com;white;2023-03-25T04:30:00;90189;81327
10;Abakay;Tahincioğlu;Alpgerey79@gmail.com;Table Alaska Checking;2023-03-24T17:10:10;32637;8639
